,Country,EN.BIR.THRD.NO,EN.FSH.THRD.NO,EN.HPT.THRD.NO,EN.MAM.THRD.NO,IC.BUS.DFRN.XQ,IC.BUS.DISC.XQ,IC.BUS.EASE.XQ,IC.CRD.INFO.XQ,IC.CRD.PRVT.ZS,IC.CRD.PUBL.ZS,IC.ELC.TIME,IC.ISV.DURS,IC.LGL.CRED.XQ,IC.LGL.DURS,IC.PRP.DURS,IC.PRP.PROC,IC.REG.COST.PC.ZS,IC.REG.DURS,IC.REG.PROC,IC.TAX.DURS,IC.TAX.PAYM,IC.TAX.TOTL.CP.ZS,IC.WRH.DURS,IC.WRH.PROC,SG.GEN.PARL.ZS,SH.DTH.IMRT,SH.DTH.MORT,SH.DTH.NMRT,SH.DYN.MORT,SH.DYN.MORT.FE,SH.DYN.MORT.MA,SH.DYN.NMRT,SH.H2O.SAFE.RU.ZS,SH.H2O.SAFE.UR.ZS,SH.H2O.SAFE.ZS,SH.MMR.DTHS,SH.MMR.RISK,SH.MMR.RISK.ZS,SH.STA.ACSN,SH.STA.ACSN.RU,SH.STA.ACSN.UR,SH.STA.MMRT,SP.DYN.IMRT.FE.IN,SP.DYN.IMRT.IN,SP.DYN.IMRT.MA.IN
23,Panama,22.0,53.0,203.0,16.0,65.74,4.0,69.0,8.0,60.7,0.0,35.0,2.5,7.0,686.0,22.5,7.0,6.3,6.0,5.0,417.0,52.0,37.2,98.0,16.0,19.2982456140351,1097.0,1277.0,721.0,17.0,15.1,18.8,9.6,88.6,97.7,94.7,71.0,420.0,0.23953016807510305,75.0,58.0,83.5,94.0,12.9,14.6,16.2
24,Germany,11.0,24.0,24.0,4.0,79.87,5.0,15.0,8.0,100.0,1.6,28.0,1.2,6.0,429.0,39.0,5.0,1.8,10.5,9.0,218.0,9.0,48.8,96.0,8.0,36.4500792393027,2140.0,2545.0,1449.0,3.7,3.4,4.1,2.1,100.0,100.0,100.0,42.0,11700.0,0.00852045989664896,99.2,99.0,99.3,6.0,2.8,3.1,3.4
25,Chile,33.0,23.0,72.0,20.0,71.49,8.0,48.0,6.0,11.2,45.1,30.0,3.2,4.0,480.0,28.5,6.0,0.7,5.5,7.0,291.0,7.0,28.9,152.0,13.0,15.833333333333302,1636.0,1896.0,1144.0,8.1,7.4,8.7,4.9,93.3,99.7,99.0,52.0,2600.0,0.0391481199687158,99.1,90.9,100.0,22.0,6.4,7.0,7.6
26,Qatar,8.0,12.0,0.0,2.0,65.97,5.0,68.0,5.0,0.0,26.5,90.0,2.8,1.0,570.0,13.0,7.0,5.1,8.5,8.0,41.0,4.0,11.3,57.0,15.0,0.0,195.0,226.0,109.0,8.0,7.3,8.7,3.8,100.0,100.0,100.0,3.0,3500.0,0.028673656702082995,98.0,98.0,98.0,13.0,6.2,6.8,7.4
27,France,13.0,52.0,41.0,8.0,75.96,9.0,27.0,6.0,0.0,45.1,71.0,1.9,4.0,395.0,49.0,8.0,0.8,4.0,5.0,137.0,8.0,62.7,183.0,9.0,26.1698440207972,2747.0,3378.0,1726.0,4.3,3.9,4.8,2.2,100.0,100.0,100.0,66.0,6100.0,0.0165042242125008,98.7,98.9,98.6,8.0,3.2,3.5,3.9
28,Argentina,50.0,39.0,70.0,40.0,56.78,7.0,121.0,8.0,100.0,42.6,92.0,2.8,2.0,590.0,51.5,7.0,9.7,25.0,14.0,405.0,9.0,137.4,341.0,21.0,36.1867704280156,8464.0,9513.0,4797.0,12.5,11.3,13.7,6.3,100.0,99.0,99.1,390.0,790.0,0.126378673709558,96.4,98.3,96.2,52.0,10.0,11.1,12.2
29,Czech Republic,10.0,2.0,15.0,2.0,73.95,2.0,36.0,7.0,78.7,6.7,110.0,2.1,7.0,611.0,31.0,4.0,6.7,15.0,8.0,405.0,8.0,50.4,247.0,21.0,20.0,262.0,328.0,168.0,3.4,3.0,3.8,1.8,100.0,100.0,100.0,5.0,14800.0,0.00676675301678951,99.1,99.2,99.1,4.0,2.5,2.8,3.1
30,Uruguay,22.0,40.0,22.0,10.0,61.21,3.0,92.0,8.0,100.0,84.1,48.0,1.8,4.0,725.0,66.0,8.0,22.0,6.5,5.0,277.0,31.0,41.8,251.0,21.0,16.161616161616198,419.0,487.0,246.0,10.1,9.1,11.1,5.1,93.9,100.0,99.7,7.0,3300.0,0.0302409612742895,96.4,92.6,96.6,15.0,7.8,8.7,9.5
31,Colombia,119.0,61.0,245.0,56.0,70.43,9.0,54.0,7.0,88.7,0.0,102.0,1.7,12.0,1288.0,16.0,6.0,7.5,11.0,8.0,239.0,11.0,69.7,73.0,10.0,19.8795180722892,10183.0,11934.0,6356.0,15.9,14.0,17.6,8.5,73.8,96.8,91.4,480.0,800.0,0.125686759130017,81.1,67.9,85.2,64.0,12.0,13.6,15.2
32,Thailand,51.0,99.0,150.0,54.0,71.42,10.0,49.0,6.0,60.2,0.0,37.0,2.7,3.0,440.0,3.0,3.0,6.4,27.5,6.0,264.0,22.0,27.5,103.0,17.0,6.09137055837564,7778.0,9173.0,4958.0,12.3,10.7,13.8,6.7,98.0,97.6,97.8,140.0,3600.0,0.0281182142560191,93.0,96.1,89.9,20.0,9.1,10.5,11.9
33,Saudi Arabia,18.0,31.0,3.0,9.0,63.17,8.0,82.0,8.0,47.4,0.0,61.0,,2.0,575.0,6.0,3.0,4.1,19.0,12.0,64.0,3.0,15.0,106.0,13.0,19.8675496688742,7708.0,9002.0,4866.0,14.5,13.6,15.5,7.9,97.0,97.0,97.0,72.0,3100.0,0.0325686193213649,100.0,100.0,100.0,12.0,11.6,12.5,13.4
34,Spain,15.0,77.0,219.0,16.0,74.86,5.0,33.0,7.0,14.1,49.8,107.0,1.5,5.0,510.0,12.5,5.0,5.2,14.0,7.0,158.0,9.0,50.0,205.0,13.0,41.1428571428571,1299.0,1566.0,1039.0,4.1,3.8,4.4,2.8,100.0,100.0,100.0,21.0,14700.0,0.00681134399665327,99.9,100.0,99.8,5.0,3.2,3.5,3.8
35,Malta,5.0,22.0,4.0,2.0,63.7,3.0,80.0,0.0,0.0,0.0,121.0,3.0,2.0,505.0,15.0,7.0,10.7,28.0,10.0,139.0,7.0,41.3,167.0,15.0,12.857142857142902,19.0,24.0,16.0,6.4,5.9,6.9,4.4,100.0,100.0,100.0,0.0,8300.0,0.0120735701846286,100.0,100.0,100.0,9.0,4.7,5.1,5.5
36,Kuwait,11.0,12.0,0.0,5.0,60.17,4.0,101.0,6.0,34.2,15.3,64.0,4.2,2.0,566.0,49.0,8.0,2.3,31.0,12.0,98.0,12.0,13.0,216.0,22.0,1.53846153846154,507.0,598.0,222.0,8.6,7.9,9.2,3.2,99.0,99.0,99.0,3.0,10300.0,0.00969638391141188,100.0,100.0,100.0,4.0,6.8,7.3,7.8
37,Suriname,9.0,29.0,26.0,9.0,47.69,1.0,156.0,0.0,0.0,0.0,113.0,5.0,2.0,1715.0,106.0,6.0,100.7,84.0,13.0,199.0,30.0,27.9,223.0,10.0,,186.0,209.0,112.0,21.3,18.7,23.8,11.5,88.4,98.1,94.8,15.0,270.0,0.37163675578962696,79.2,61.4,88.4,155.0,16.6,19.0,21.3
38,Trinidad and Tobago,5.0,35.0,2.0,2.0,62.58,4.0,88.0,6.0,69.6,0.0,61.0,2.5,7.0,1340.0,77.0,9.0,0.7,11.5,7.0,210.0,39.0,32.2,253.0,16.0,28.571428571428598,344.0,387.0,249.0,20.4,18.2,22.4,13.2,95.1,95.1,95.1,12.0,860.0,0.115839419309269,91.5,91.5,91.5,63.0,16.2,18.2,20.0
39,El Salvador,6.0,15.0,29.0,7.0,62.76,3.0,86.0,7.0,34.4,27.6,61.0,3.5,9.0,786.0,31.0,5.0,42.7,16.5,8.0,312.0,53.0,38.7,108.0,25.0,32.1428571428571,1509.0,1763.0,868.0,16.8,14.9,18.6,8.3,86.5,97.5,93.8,57.0,890.0,0.11175312001765801,75.0,60.0,82.4,54.0,12.8,14.4,16.0
40,Guatemala,14.0,34.0,98.0,17.0,63.49,3.0,81.0,7.0,8.8,19.0,39.0,3.0,9.0,1402.0,24.0,6.0,25.0,18.5,6.0,256.0,8.0,37.5,158.0,11.0,13.2911392405063,10818.0,12858.0,5946.0,29.1,26.0,32.1,13.4,86.8,98.4,92.8,380.0,330.0,0.30632359364850703,63.9,49.3,77.5,88.0,21.5,24.3,27.0
41,Uzbekistan,20.0,7.0,17.0,9.0,62.6,7.0,87.0,7.0,19.4,0.0,89.0,2.0,6.0,225.0,46.0,9.0,3.4,6.5,5.0,192.5,33.0,41.1,176.0,23.0,16.0,22771.0,26205.0,13652.0,39.1,33.9,44.1,20.4,,98.5,,240.0,1000.0,0.0994769853067875,100.0,100.0,100.0,36.0,29.2,33.9,38.4
42,Japan,42.0,74.0,24.0,27.0,74.72,7.0,34.0,6.0,100.0,0.0,97.7,0.6,4.0,360.0,13.0,6.0,7.5,10.2,8.0,330.0,14.0,51.3,197.0,12.0,9.47368421052632,2093.0,2834.0,941.0,2.7,2.5,2.9,0.9,100.0,100.0,100.0,56.0,13400.0,0.00748458839982738,100.0,100.0,100.0,5.0,1.9,2.0,2.1
43,Ecuador,98.0,53.0,1848.0,46.0,57.47,2.0,117.0,8.0,52.9,0.0,74.0,5.3,1.0,588.0,38.0,7.0,22.0,50.5,12.0,654.0,8.0,33.0,114.0,15.0,41.605839416058394,6027.0,7079.0,3530.0,21.6,19.0,24.0,10.8,75.5,93.4,86.9,210.0,580.0,0.17197406815503002,84.7,80.7,87.0,64.0,16.0,18.4,20.7
44,Bahrain,6.0,9.0,0.0,3.0,66.81,8.0,65.0,7.0,29.0,0.0,85.0,2.5,1.0,635.0,31.0,2.0,0.8,9.0,7.0,60.0,13.0,13.5,145.0,8.0,7.5,115.0,135.0,24.0,6.2,5.9,6.4,1.1,100.0,100.0,100.0,3.0,3000.0,0.0336879110838102,99.2,99.2,99.2,15.0,5.1,5.3,5.4
45,Italy,14.0,51.0,74.0,7.0,72.07,7.0,45.0,7.0,100.0,27.3,124.0,1.8,2.0,1120.0,16.0,4.0,13.8,5.5,5.0,269.0,14.0,64.8,227.5,10.0,30.952380952381002,1378.0,1693.0,998.0,3.5,3.2,3.8,2.1,100.0,100.0,100.0,18.0,19700.0,0.00506532246229972,99.5,99.6,99.5,4.0,2.7,2.9,3.1
46,Bolivia,55.0,0.0,99.0,21.0,47.47,1.0,157.0,7.0,43.2,15.0,42.0,1.8,0.0,591.0,91.0,7.0,57.9,50.0,15.0,1025.0,42.0,83.7,275.0,12.0,53.0769230769231,7504.0,9415.0,4823.0,38.4,34.7,41.9,19.6,75.6,96.7,90.0,520.0,160.0,0.643990641431459,50.3,27.5,60.8,206.0,27.3,30.6,33.8
47,Moldova,12.0,8.0,2.0,4.0,70.97,7.0,52.0,6.0,10.8,0.0,113.0,2.8,8.0,585.0,5.5,5.0,4.3,4.0,4.0,186.0,21.0,40.2,276.0,27.0,21.7821782178218,587.0,687.0,513.0,15.8,14.0,17.6,11.9,81.4,96.9,88.4,10.0,3200.0,0.0314954259234527,76.4,67.1,87.8,23.0,12.0,13.6,15.2
48,Paraguay,27.0,0.0,19.0,10.0,60.19,6.0,100.0,8.0,44.6,23.1,67.0,3.9,2.0,591.0,46.0,6.0,39.9,35.0,7.0,378.0,20.0,35.0,120.0,12.0,15.0,2366.0,2780.0,1471.0,20.5,18.3,22.5,10.9,94.9,100.0,98.0,190.0,270.0,0.368275060116238,88.6,78.4,95.5,132.0,15.6,17.5,19.2
49,Kazakhstan,26.0,14.0,16.0,15.0,72.68,9.0,41.0,7.0,81.4,0.0,83.0,1.5,4.0,370.0,4.5,3.0,0.1,5.0,4.0,188.0,7.0,29.2,154.0,24.0,26.1682242990654,4935.0,5528.0,2744.0,14.1,12.0,16.1,7.0,85.6,99.4,92.9,45.0,3000.0,0.0336977912675616,97.5,98.1,97.0,12.0,10.7,12.6,14.5
50,Slovenia,8.0,33.0,11.0,5.0,75.62,5.0,29.0,4.0,100.0,3.1,38.0,0.8,3.0,1160.0,49.5,5.0,0.0,6.0,2.0,245.0,10.0,31.0,224.5,12.0,36.6666666666667,46.0,57.0,31.0,2.6,2.3,2.8,1.4,99.4,99.7,99.5,2.0,7000.0,0.0142959166333991,99.1,99.1,99.1,9.0,2.0,2.1,2.3
51,Lithuania,9.0,6.0,2.0,2.0,78.88,7.0,20.0,8.0,79.3,33.9,95.0,2.3,6.0,300.0,2.5,3.0,0.6,3.5,2.0,171.0,11.0,42.6,103.0,12.0,23.4042553191489,107.0,164.0,81.0,5.2,4.7,5.6,2.5,90.4,99.7,96.6,3.0,6300.0,0.0158638989890202,92.4,82.8,97.2,10.0,3.0,3.3,3.5
52,Nicaragua,15.0,38.0,44.0,7.0,55.78,1.0,125.0,8.0,48.7,16.3,55.0,2.2,1.0,519.0,58.0,9.0,72.2,13.0,6.0,207.0,43.0,63.9,207.0,16.0,41.304347826086996,2251.0,2662.0,1170.0,22.1,19.5,24.5,9.8,69.4,99.3,87.0,180.0,270.0,0.370522098758063,67.9,55.7,76.5,150.0,16.6,18.8,20.9
53,Peru,120.0,22.0,318.0,55.0,71.33,9.0,50.0,8.0,100.0,35.2,67.0,3.1,8.0,426.0,6.5,4.0,9.8,26.0,6.0,260.0,9.0,35.9,174.0,14.0,22.3076923076923,8164.0,10483.0,5104.0,16.9,15.2,18.4,8.2,69.2,91.4,86.7,420.0,570.0,0.174471819702448,76.2,53.2,82.5,68.0,11.8,13.1,14.4
54,Belarus,9.0,2.0,1.0,3.0,72.33,7.0,44.0,6.0,0.0,66.9,112.0,3.0,2.0,275.0,3.0,2.0,0.9,3.0,3.0,176.0,7.0,51.8,115.0,16.0,27.2727272727273,428.0,567.0,239.0,4.6,3.9,5.1,1.9,99.1,99.9,99.7,5.0,13800.0,0.007220806155099679,94.3,95.2,94.1,4.0,2.9,3.4,3.8
55,Poland,11.0,8.0,13.0,4.0,76.45,7.0,25.0,8.0,91.0,0.0,133.0,3.0,7.0,685.0,33.0,6.0,12.2,30.0,4.0,271.0,7.0,40.3,156.0,16.0,24.1304347826087,1629.0,1917.0,1122.0,5.2,4.7,5.6,3.1,96.9,99.3,98.3,12.0,22100.0,0.004522391599816111,97.2,96.7,97.5,3.0,4.1,4.5,4.8
56,Malaysia,50.0,75.0,721.0,70.0,79.13,10.0,18.0,7.0,77.1,57.0,32.0,1.0,7.0,425.0,13.0,8.0,6.7,4.0,3.0,118.0,13.0,40.0,79.0,15.0,10.360360360360401,3308.0,3793.0,2149.0,7.0,6.3,7.7,3.9,93.0,100.0,98.2,200.0,1200.0,0.0815062696640714,96.0,95.9,96.1,40.0,5.3,6.0,6.6
57,Croatia,15.0,63.0,9.0,8.0,72.71,3.0,40.0,6.0,100.0,0.0,70.0,3.1,5.0,572.0,62.0,5.0,3.3,12.0,7.0,206.0,19.0,20.0,128.0,19.0,25.8278145695364,135.0,165.0,98.0,4.3,3.9,4.7,2.6,99.7,99.6,99.6,3.0,7900.0,0.0127185363362245,97.0,95.8,97.8,8.0,3.3,3.6,3.9
58,Libya,6.0,32.0,3.0,11.0,31.77,1.0,188.0,0.0,0.0,0.5,118.0,,0.0,690.0,,,26.9,35.0,10.0,889.0,19.0,32.8,,,15.9574468085106,1418.0,1684.0,894.0,13.4,12.0,14.7,7.2,,,,12.0,4200.0,0.0240762905181788,96.6,95.7,96.8,9.0,10.2,11.4,12.7
59,Jamaica,10.0,30.0,214.0,6.0,67.27,4.0,64.0,7.0,22.4,0.0,95.0,1.1,10.0,655.0,18.0,8.0,5.0,3.0,2.0,358.0,37.0,35.2,129.5,17.0,12.6984126984127,539.0,631.0,464.0,15.7,13.7,17.6,11.6,89.4,97.5,93.8,43.0,520.0,0.193707566750657,81.8,84.1,79.9,89.0,11.8,13.5,15.2
60,Cyprus,7.0,24.0,18.0,5.0,71.78,8.0,47.0,6.0,67.3,0.0,137.0,1.5,7.0,1100.0,9.0,7.0,12.2,8.0,6.0,145.5,27.0,24.4,617.0,8.0,12.5,32.0,35.0,19.0,2.7,2.5,3.0,1.5,100.0,100.0,100.0,1.0,9400.0,0.0106710874824411,100.0,100.0,100.0,7.0,2.3,2.5,2.7
