,Country,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
54,Belarus,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.1909,0.11045999999999999,2.1309
55,Poland,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759000000000002,1.86565
56,Malaysia,1.12486,1.07023,0.7239399999999999,0.5302399999999999,0.10500999999999999,0.33075,1.8854099999999998
57,Croatia,1.08254,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414
58,Libya,1.13145,1.1186200000000002,0.7038,0.41668,0.11023,0.18295,2.0906599999999997
59,Jamaica,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.02299,0.2123,2.32038
60,Cyprus,1.20813,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998
61,Algeria,0.93929,1.07772,0.61766,0.28579,0.17382999999999998,0.07822,2.43209
62,Kosovo,0.80148,0.81198,0.63132,0.24749000000000002,0.04741,0.2831,2.76579
63,Turkmenistan,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.8698400000000002
64,Mauritius,1.0076100000000001,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145
65,Estonia,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782
66,Indonesia,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.0,0.51535,1.86399
67,Vietnam,0.63216,0.9122600000000001,0.7467600000000001,0.59444,0.10440999999999999,0.1686,2.20173
68,Turkey,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528
69,Nigeria,0.65435,0.9043200000000001,0.16007000000000002,0.34334000000000003,0.0403,0.27233,2.89319
70,Bhutan,0.77042,1.10395,0.57407,0.5320600000000001,0.15445,0.47998,1.63794
71,Azerbaijan,1.02389,0.9379299999999999,0.64045,0.3703,0.16065,0.07799,2.00073
72,Pakistan,0.59543,0.41411000000000003,0.51466,0.12102,0.10464000000000001,0.33671,3.1070900000000004
73,Jordan,0.9019799999999999,1.05392,0.69639,0.40660999999999997,0.14293,0.11052999999999999,1.8799599999999999
74,Montenegro,0.9743799999999999,0.9055700000000001,0.72521,0.1826,0.14296,0.1614,2.10017
75,China,0.89012,0.94675,0.81658,0.5169699999999999,0.02781,0.08185,1.8604
76,Zambia,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343
77,Romania,1.04345,0.8858799999999999,0.7689,0.35068,0.006490000000000001,0.13748,1.9312900000000002
78,Serbia,0.92053,1.0096399999999999,0.74836,0.20107,0.02617,0.19230999999999998,2.025
79,Portugal,1.15991,1.13935,0.8751899999999999,0.51469,0.01078,0.13719,1.26462
80,Latvia,1.11312,1.09562,0.72437,0.29671,0.06332,0.18225999999999998,1.62215
81,Philippines,0.70532,1.03516,0.58114,0.62545,0.12279000000000001,0.24991,1.7536
82,Morocco,0.7347899999999999,0.64095,0.60954,0.41691000000000006,0.08546000000000001,0.07172,2.4537299999999997
83,Mozambique,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137
84,Albania,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.06412999999999999,0.14272,1.89894
85,Bosnia and Herzegovina,0.8322299999999999,0.9191600000000001,0.79081,0.09245,0.00227,0.24808000000000002,2.06367
86,Lesotho,0.37545,1.04103,0.07612000000000001,0.31767,0.12504,0.16388,2.79832
